ML_ID,Species,Tags,ClipStart,ClipEnd
137826,Cackling Goose,Geese audio call,4,12
292526641,Cackling Goose,Geese audio call,0,8
135491,Cackling Goose,Geese audio call,4,11
65344051,Brant,Geese audio call,1,8
316084071,Brant,Geese audio call,1,9
31730681,Brant,Geese audio call,0,7
53519641,Canada Goose,Geese audio call,0,9
212509691,Canada Goose,Geese audio call,0,9
60875,Canada Goose,Geese audio call,15,22
79830261,Snow Goose,Geese audio call,1,9
79504721,Snow Goose,Geese audio call,4,12
61205,Snow Goose,Geese audio call,17,25
113756861,Ross’s Goose,Geese audio call,,
113912061,Ross’s Goose,Geese audio call,0,10
142674201,Ross’s Goose,Geese audio call,2,9
49571481,Greater White-Fronted Goose,Geese audio call,0,8
131491,Greater White-Fronted Goose,Geese audio call,21,29
31730051,Greater White-Fronted Goose,Geese audio call,1,10
