ML_ID,Species,Type,Tags,ClipStart,ClipEnd
137826,Cackling Goose,call,Geese,4,12
292526641,Cackling Goose,call,Geese,0,8
135491,Cackling Goose,call,Geese,4,11
65344051,Brant,call,Geese,1,8
316084071,Brant,call,Geese,1,9
31730681,Brant,call,Geese,0,7
53519641,Canada Goose,call,Geese,0,9
212509691,Canada Goose,call,Geese,0,9
60875,Canada Goose,call,Geese,15,22
79830261,Snow Goose,call,Geese,1,9
79504721,Snow Goose,call,Geese,4,12
61205,Snow Goose,call,Geese,17,25
113756861,Ross’s Goose,call,Geese,,
113912061,Ross’s Goose,call,Geese,0,10
142674201,Ross’s Goose,call,Geese,2,9
49571481,Greater White-Fronted Goose,call,Geese,0,8
131491,Greater White-Fronted Goose,call,Geese,21,29
31730051,Greater White-Fronted Goose,call,Geese,1,10
