ML_ID,Species,Tags,ClipStart,ClipEnd
74595151,Eastern Meadowlark,Meadowlark audio,3,12
74595151,Eastern Meadowlark,Meadowlark audio,24,41
249825,Eastern Meadowlark,Meadowlark audio,3,13
106880,Eastern Meadowlark,Meadowlark audio,12,23
29338971,Eastern Meadowlark,Meadowlark audio,,
197001,Eastern Meadowlark,Meadowlark audio,80,100
197001,Eastern Meadowlark,Meadowlark audio,305,319
61228141,Eastern Meadowlark,Meadowlark audio,0,12
184969791,Eastern Meadowlark,Meadowlark audio,20,35
195034781,Eastern Meadowlark,Meadowlark audio,6,16
156044731,Eastern Meadowlark,Meadowlark audio,,
61894191,Eastern Meadowlark,Meadowlark audio,0,18
209643961,Eastern Meadowlark,Meadowlark audio,,
466314461,Eastern Meadowlark,Meadowlark audio,1,9
156044731,Eastern Meadowlark,Meadowlark audio,,
516839,Western Meadowlark,Meadowlark audio,20,31
231013641,Western Meadowlark,Meadowlark audio,2,16
195086,Western Meadowlark,Meadowlark audio,7,16.5
105455121,Western Meadowlark,Meadowlark audio,0,10
167851,Western Meadowlark,Meadowlark audio,14,27
188806,Western Meadowlark,Meadowlark audio,6,12
45371,Western Meadowlark,Meadowlark audio,47,58
91838541,Western Meadowlark,Meadowlark audio,4,19
431094781,Western Meadowlark,Meadowlark audio,4,16
365992541,Western Meadowlark,Meadowlark audio,0,14
294492431,Western Meadowlark,Meadowlark audio,15,27
626168443,Western Meadowlark,Meadowlark audio,15,31
320371571,Western Meadowlark,Meadowlark audio,1,16
410415071,Western Meadowlark,Meadowlark audio,4,13
171381021,Western Meadowlark,Meadowlark audio,25,39
