ML_ID,Species,Tags,ClipStart,ClipEnd
94232,Downy Woodpecker,Woodpeckers chip,5,11
107289,Downy Woodpecker,Woodpeckers drumming,6.5,15.5
367769351,Downy Woodpecker,Woodpeckers call,,
407331691,Hairy Woodpecker,Woodpeckers chip,,
239253,Hairy Woodpecker,Woodpeckers chip,3,9.5
210350181,Hairy Woodpecker,Woodpeckers call,,
294143231,Hairy Woodpecker,Woodpeckers drumming,1,10
88310041,Pileated Woodpecker,Woodpeckers call,4,8
191163,Pileated Woodpecker,Woodpeckers drumming,67,71
470495161,Pileated Woodpecker,Woodpeckers call,,
331513551,Red-Bellied Woodpecker,Woodpeckers call,5,10
612496170,Red-Bellied Woodpecker,Woodpeckers chip,,
105714,Red-Bellied Woodpecker,Woodpeckers call,7,15
97153371,Red-Bellied Woodpecker,Woodpeckers drumming,1,8
168305,Red-Headed Woodpecker,Woodpeckers chip,6,13
56271751,Red-Headed Woodpecker,Woodpeckers drumming,1,5
28738809,Red-Headed Woodpecker,Woodpeckers call,0,9
324409061,Yellow-Bellied Sapsucker,Woodpeckers drumming,3,10
349575811,Yellow-Bellied Sapsucker,Woodpeckers call,,
296859841,Yellow-Bellied Sapsucker,Woodpeckers call,0,8
84808,Northern Flicker,Woodpeckers call,4,11
299493831,Northern Flicker,Woodpeckers drumming,0,7
224667,Northern Flicker,Woodpeckers call,0,5
225882,Black-Backed Woodpecker,Woodpeckers drumming,0,10
133389,Black-Backed Woodpecker,Woodpeckers call,4,11
164808871,Black-Backed Woodpecker,Woodpeckers call,17,24
105787,American Three-Toed Woodpecker,Woodpeckers drumming,6,11
132223,American Three-Toed Woodpecker,Woodpeckers call,11,19
72621931,American Three-Toed Woodpecker,Woodpeckers call,0,9
75518341,Downy Woodpecker,Woodpeckers chip,10,17
147240231,Downy Woodpecker,Woodpeckers call,154,161
153616861,Downy Woodpecker,Woodpeckers chip,0,10
211302481,Hairy Woodpecker,Woodpeckers chip,33,40
85125,Hairy Woodpecker,Woodpeckers call,151,161
539939,Pileated Woodpecker,Woodpeckers call,,
539951,Pileated Woodpecker,Woodpeckers call,4,9
82850501,Pileated Woodpecker,Woodpeckers call,0,10
217850831,Red-Bellied Woodpecker,Woodpeckers call,0,5
230037631,Red-Bellied Woodpecker,Woodpeckers chip,5,12
225957,Red-Bellied Woodpecker,Woodpeckers call,0,9
237471561,Red-Headed Woodpecker,Woodpeckers chip,9,18
107559681,Red-Headed Woodpecker,Woodpeckers call,0,10
108883461,Red-Headed Woodpecker,Woodpeckers call,2,11
81216961,Yellow-Bellied Sapsucker,Woodpeckers call,16,25
197991,Yellow-Bellied Sapsucker,Woodpeckers call,13,21
30597061,Northern Flicker,Woodpeckers call,1,10
111010,Northern Flicker,Woodpeckers call,7,13
77261,Northern Flicker,Woodpeckers call,4,10
