ML_ID,Species,Tags
544759861,Black-Bellied Whistling-Duck,Ducks photo flying
505127391,Black-Bellied Whistling-Duck,Ducks photo flying
544637081,Black-Bellied Whistling-Duck,Ducks photo flying
208712141,Black-Bellied Whistling-Duck,Ducks photo flying
544723951,Black-Bellied Whistling-Duck,Ducks photo flying
204431161,Black-Bellied Whistling-Duck,Ducks photo flying
544637051,Black-Bellied Whistling-Duck,Ducks photo flying
544639851,Black-Bellied Whistling-Duck,Ducks photo flying
544630161,Black-Bellied Whistling-Duck,Ducks photo flying
544637101,Black-Bellied Whistling-Duck,Ducks photo flying
601374181,Fulvous Whistling-Duck,Ducks photo flying
348429801,Fulvous Whistling-Duck,Ducks photo flying
634731076,Fulvous Whistling-Duck,Ducks photo flying
609340637,Fulvous Whistling-Duck,Ducks photo flying
466773301,Fulvous Whistling-Duck,Ducks photo flying
322618871,Wood Duck,Ducks photo flying
635097981,Wood Duck,Ducks photo flying
627618419,Wood Duck,Ducks photo flying
642187408,Wood Duck,Ducks photo flying
220630041,Wood Duck,Ducks photo flying
382391161,Wood Duck,Ducks photo flying
340926091,Wood Duck,Ducks photo flying
325864261,Wood Duck,Ducks photo flying
29954091,Wood Duck,Ducks photo flying
278423221,Wood Duck,Ducks photo flying
591958181,Wood Duck,Ducks photo flying
390815431,Wood Duck,Ducks photo flying
616898332,Wood Duck,Ducks photo flying
256123001,Wood Duck,Ducks photo flying
377329381,Wood Duck,Ducks photo flying
625770478,Mallard,Ducks photo flying
625770477,Mallard,Ducks photo flying
612979099,Mallard,Ducks photo flying
275581691,Mallard,Ducks photo flying
628676914,Mallard,Ducks photo flying
629341730,Mallard,Ducks photo flying
278475931,Mallard,Ducks photo flying
613854453,Mallard,Ducks photo flying
460546361,Mallard,Ducks photo flying
624427805,Mallard,Ducks photo flying
623117304,Mallard,Ducks photo flying
281511681,Mallard,Ducks photo flying
554601041,Mallard,Ducks photo flying
611823443,Mallard,Ducks photo flying
323225731,Mallard,Ducks photo flying
585653251,American Black Duck,Ducks photo flying
390816051,American Black Duck,Ducks photo flying
503443451,American Black Duck,Ducks photo flying
391719221,American Black Duck,Ducks photo flying
602802321,American Black Duck,Ducks photo flying
616679379,American Black Duck,Ducks photo flying
518644611,American Black Duck,Ducks photo flying
627330746,American Black Duck,Ducks photo flying
625618692,American Black Duck,Ducks photo flying
622546468,American Black Duck,Ducks photo flying
616503602,Gadwall,Ducks photo flying
235386791,Gadwall,Ducks photo flying
616504210,Gadwall,Ducks photo flying
411800961,Gadwall,Ducks photo flying
633169106,Gadwall,Ducks photo flying
291785901,Gadwall,Ducks photo flying
620619370,Gadwall,Ducks photo flying
619464780,Gadwall,Ducks photo flying
275759981,Gadwall,Ducks photo flying
217314101,Gadwall,Ducks photo flying
321204761,Gadwall,Ducks photo flying
317243601,Gadwall,Ducks photo flying
620369864,Gadwall,Ducks photo flying
211742061,Gadwall,Ducks photo flying
636842163,Gadwall,Ducks photo flying
433833971,Green-Winged Teal,Ducks photo flying
613222288,Green-Winged Teal,Ducks photo flying
634650858,Green-Winged Teal,Ducks photo flying
549054561,Green-Winged Teal,Ducks photo flying
338863051,Green-Winged Teal,Ducks photo flying
613222286,Green-Winged Teal,Ducks photo flying
634650855,Green-Winged Teal,Ducks photo flying
549054521,Green-Winged Teal,Ducks photo flying
