ML_ID,Species,Tags
626490591,Mallard,Ducks photo female
317843711,Mallard,Ducks photo female
626499799,Mallard,Ducks photo female
139194981,Mallard,Ducks photo female
539304351,Mallard,Ducks photo female
631337814,Mallard,Ducks photo female
243751921,Mallard,Ducks photo female
590464101,Mallard,Ducks photo female
299647131,Mallard,Ducks photo female
421523481,Mallard,Ducks photo female
73250731,Mallard,Ducks photo female
615535625,Mallard,Ducks photo female
537158961,Mallard,Ducks photo female
548279611,Mallard,Ducks photo female
424371071,Mallard,Ducks photo female
566212641,Mallard,Ducks photo female
151709671,Mallard,Ducks photo female
610523138,Mallard,Ducks photo female
219429731,Mallard,Ducks photo female
517894291,Mallard,Ducks photo female
408079711,Mallard,Ducks photo female
613921873,Mallard,Ducks photo female
615313745,Mallard,Ducks photo female
78755591,Mallard,Ducks photo female
594516101,Mallard,Ducks photo female
524591791,Mallard,Ducks photo female
534628491,Mallard,Ducks photo female
573148231,Mallard,Ducks photo female
63898551,Mallard,Ducks photo female
613161961,Mallard,Ducks photo female
432768061,Mallard,Ducks photo female
144968131,Mallard,Ducks photo female
616913031,Mallard,Ducks photo female
314175171,Mallard,Ducks photo female
51562581,Mallard,Ducks photo female
638048644,Mallard,Ducks photo female
573208951,Mallard,Ducks photo female
361989301,Mallard,Ducks photo female
126295111,Mallard,Ducks photo female
550401171,Mallard,Ducks photo female
388382231,Mallard,Ducks photo female
630621699,Mallard,Ducks photo female
282742741,Mallard,Ducks photo female
495511451,Mallard,Ducks photo female
408079701,Mallard,Ducks photo female
626260507,Mallard,Ducks photo female
634189585,Mallard,Ducks photo female
550401151,Mallard,Ducks photo female
29705011,Mallard,Ducks photo female
592458871,Mallard,Ducks photo female
631488734,Mottled Duck,Ducks photo
638083457,Mottled Duck,Ducks photo
613617155,Mottled Duck,Ducks photo
612179782,Mottled Duck,Ducks photo
561749001,Mottled Duck,Ducks photo
148496251,Mottled Duck,Ducks photo
631421520,Mottled Duck,Ducks photo
612448430,Mottled Duck,Ducks photo
631488830,Mottled Duck,Ducks photo
576540671,Mottled Duck,Ducks photo
635788073,Mottled Duck,Ducks photo
626438708,Mottled Duck,Ducks photo
153516261,Mottled Duck,Ducks photo
169767801,Mottled Duck,Ducks photo
611849961,Mottled Duck,Ducks photo
563011161,Mottled Duck,Ducks photo
205583511,Mottled Duck,Ducks photo
546608701,Mottled Duck,Ducks photo
546534821,Mottled Duck,Ducks photo
457507111,Mottled Duck,Ducks photo
82524691,Mottled Duck,Ducks photo
561749011,Mottled Duck,Ducks photo
402186521,Mottled Duck,Ducks photo
400915621,Mottled Duck,Ducks photo
399775051,Mottled Duck,Ducks photo
166002981,Mottled Duck,Ducks photo
577344101,Mottled Duck,Ducks photo
631421516,Mottled Duck,Ducks photo
399385521,Mottled Duck,Ducks photo
433241161,Mottled Duck,Ducks photo
612424622,Mottled Duck,Ducks photo
611378045,Mottled Duck,Ducks photo
399444741,Mottled Duck,Ducks photo
157424361,Mottled Duck,Ducks photo
77808791,Mottled Duck,Ducks photo
545383371,Mottled Duck,Ducks photo
313449751,Mottled Duck,Ducks photo
380741411,Mottled Duck,Ducks photo
631428077,Mottled Duck,Ducks photo
563011151,Mottled Duck,Ducks photo
628448980,Mottled Duck,Ducks photo
631428100,Mottled Duck,Ducks photo
631421514,Mottled Duck,Ducks photo
435549891,Mottled Duck,Ducks photo
434150191,Mottled Duck,Ducks photo
563011141,Mottled Duck,Ducks photo
613617158,Mottled Duck,Ducks photo
631428082,Mottled Duck,Ducks photo
215423491,Mottled Duck,Ducks photo
77091701,Mottled Duck,Ducks photo
396501041,American Black Duck,Ducks photo
631081634,American Black Duck,Ducks photo
187491651,American Black Duck,Ducks photo
44537161,American Black Duck,Ducks photo
43434341,American Black Duck,Ducks photo
342944171,American Black Duck,Ducks photo
611030457,American Black Duck,Ducks photo
633063532,American Black Duck,Ducks photo
628955119,American Black Duck,Ducks photo
632555000,American Black Duck,Ducks photo
286351201,American Black Duck,Ducks photo
303499401,American Black Duck,Ducks photo
519138851,American Black Duck,Ducks photo
136658601,American Black Duck,Ducks photo
71887491,American Black Duck,Ducks photo
420663641,American Black Duck,Ducks photo
295887101,American Black Duck,Ducks photo
549379001,American Black Duck,Ducks photo
373612931,American Black Duck,Ducks photo
50973421,American Black Duck,Ducks photo
617895195,American Black Duck,Ducks photo
504791381,American Black Duck,Ducks photo
90602831,American Black Duck,Ducks photo
400784141,American Black Duck,Ducks photo
89230971,American Black Duck,Ducks photo
567898711,American Black Duck,Ducks photo
631705594,American Black Duck,Ducks photo
626633475,American Black Duck,Ducks photo
359010061,American Black Duck,Ducks photo
302426031,American Black Duck,Ducks photo
394244531,American Black Duck,Ducks photo
626490601,American Black Duck,Ducks photo
526927751,American Black Duck,Ducks photo
307717461,American Black Duck,Ducks photo
612522609,American Black Duck,Ducks photo
139201741,American Black Duck,Ducks photo
637162076,American Black Duck,Ducks photo
84195391,American Black Duck,Ducks photo
303716581,American Black Duck,Ducks photo
284423461,American Black Duck,Ducks photo
291660381,American Black Duck,Ducks photo
567898701,American Black Duck,Ducks photo
135135821,American Black Duck,Ducks photo
139201721,American Black Duck,Ducks photo
627336086,American Black Duck,Ducks photo
27739861,American Black Duck,Ducks photo
43434381,American Black Duck,Ducks photo
549379021,American Black Duck,Ducks photo
617895190,American Black Duck,Ducks photo
631586185,American Black Duck,Ducks photo
274733751,Mexican Duck,Ducks photo
393396281,Mexican Duck,Ducks photo
46186291,Mexican Duck,Ducks photo
429898011,Mexican Duck,Ducks photo
398733231,Mexican Duck,Ducks photo
522658481,Mexican Duck,Ducks photo
168833441,Mexican Duck,Ducks photo
518588071,Mexican Duck,Ducks photo
126579011,Mexican Duck,Ducks photo
205968601,Mexican Duck,Ducks photo
632077473,Mexican Duck,Ducks photo
131466201,Mexican Duck,Ducks photo
520380281,Mexican Duck,Ducks photo
320931971,Mexican Duck,Ducks photo
596517711,Mexican Duck,Ducks photo
495747391,Mexican Duck,Ducks photo
274746091,Mexican Duck,Ducks photo
82030921,Mexican Duck,Ducks photo
302656451,Mexican Duck,Ducks photo
538002351,Mexican Duck,Ducks photo
163800851,Mexican Duck,Ducks photo
115249861,Mexican Duck,Ducks photo
207452321,Mexican Duck,Ducks photo
303245501,Mexican Duck,Ducks photo
55605681,Mexican Duck,Ducks photo
633640100,Mexican Duck,Ducks photo
159161101,Mexican Duck,Ducks photo
411484451,Mexican Duck,Ducks photo
613230366,Mexican Duck,Ducks photo
301946531,Mexican Duck,Ducks photo
274733721,Mexican Duck,Ducks photo
505591311,Mexican Duck,Ducks photo
503499371,Mexican Duck,Ducks photo
621238958,Mexican Duck,Ducks photo
73960481,Mexican Duck,Ducks photo
430936601,Mexican Duck,Ducks photo
505591301,Mexican Duck,Ducks photo
392348931,Mexican Duck,Ducks photo
629795834,Mexican Duck,Ducks photo
304144461,Mexican Duck,Ducks photo
525202181,Mexican Duck,Ducks photo
47025031,Mexican Duck,Ducks photo
545273341,Mexican Duck,Ducks photo
411346661,Mexican Duck,Ducks photo
392349041,Mexican Duck,Ducks photo
405079491,Mexican Duck,Ducks photo
163800891,Mexican Duck,Ducks photo
317916171,Mexican Duck,Ducks photo
210279741,Mexican Duck,Ducks photo
523687991,Mexican Duck,Ducks photo
