ML_ID,Species,Tags
164944871,Black-Necked Stilt,Stilt shorebirds
464222521,Black-Necked Stilt,Stilt shorebirds
193206281,Black-Necked Stilt,Stilt shorebirds
146987211,Black-Necked Stilt,Stilt shorebirds
512804581,Black-Necked Stilt,Stilt shorebirds
584905811,Black-Necked Stilt,Stilt shorebirds
603086431,Black-Necked Stilt,Stilt shorebirds
608382091,Black-Necked Stilt,Stilt shorebirds
322450251,Black-Necked Stilt,Stilt shorebirds
374200191,Black-Necked Stilt,Stilt shorebirds
75502271,Black-Necked Stilt,Stilt shorebirds
50974321,Black-Necked Stilt,Stilt shorebirds
634800711,Black-Necked Stilt,Stilt shorebirds
603580681,Black-Necked Stilt,Stilt shorebirds
252173901,Black-Necked Stilt,Stilt shorebirds
609740307,American Avocet,Avocet shorebirds
313425091,American Avocet,Avocet shorebirds
270969101,American Avocet,Avocet shorebirds
439854931,American Avocet,Avocet shorebirds
638766824,American Avocet,Avocet shorebirds
563021861,American Avocet,Avocet shorebirds
634607076,American Avocet,Avocet shorebirds
276543461,American Avocet,Avocet shorebirds
619817764,American Avocet,Avocet shorebirds
432881051,American Avocet,Avocet shorebirds
609740191,American Avocet,Avocet shorebirds
85150181,American Avocet,Avocet shorebirds
107129421,American Avocet,Avocet shorebirds
435506851,American Avocet,Avocet shorebirds
456013381,American Avocet,Avocet shorebirds
610326495,Black-Bellied Plover,Plover shorebirds
397363981,Black-Bellied Plover,Plover shorebirds
115314701,Black-Bellied Plover,Plover shorebirds
373163681,Black-Bellied Plover,Plover shorebirds
37666571,Black-Bellied Plover,Plover shorebirds
386562281,Black-Bellied Plover,Plover shorebirds
644847373,Black-Bellied Plover,Plover shorebirds
374365051,Black-Bellied Plover,Plover shorebirds
87023061,Black-Bellied Plover,Plover shorebirds
189491121,Black-Bellied Plover,Plover shorebirds
181506211,Black-Bellied Plover,Plover shorebirds
638357810,Black-Bellied Plover,Plover shorebirds
627523703,Black-Bellied Plover,Plover shorebirds
392191171,Black-Bellied Plover,Plover shorebirds
376323211,Black-Bellied Plover,Plover shorebirds
402822111,American Golden-Plover,Plover shorebirds
623719871,American Golden-Plover,Plover shorebirds
372790521,American Golden-Plover,Plover shorebirds
495059381,American Golden-Plover,Plover shorebirds
166082771,American Golden-Plover,Plover shorebirds
60966561,American Golden-Plover,Plover shorebirds
610656637,American Golden-Plover,Plover shorebirds
